symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,02-06-2025,200.28,202.13,200.12,201.7,35423300,1.42,0.70901,201.0575
AAPL,30-05-2025,199.37,201.96,196.78,200.85,70819942,1.48,0.74234,199.74
AAPL,29-05-2025,203.58,203.81,198.51,199.95,51477938,-3.62,-1.78,201.4625
AAPL,28-05-2025,200.59,202.73,199.9,200.42,45339700,-0.17,-0.08474999,200.91
AAPL,27-05-2025,198.3,200.74,197.43,200.21,56288500,1.91,0.96319,199.17
AAPL,23-05-2025,193.67,197.7,193.46,195.27,78432918,1.61,0.82615,195.025
AAPL,22-05-2025,200.71,202.75,199.7,201.36,46742407,0.65,0.32385,201.13
AAPL,21-05-2025,205.17,207.04,200.71,202.09,59211800,-3.08,-1.5,203.7525
AAPL,20-05-2025,207.67,208.47,205.03,206.86,42496635,-0.81,-0.39004,207.0075
AAPL,19-05-2025,207.91,209.48,204.26,208.78,46140527,0.87,0.41845,207.6075
AAPL,16-05-2025,212.36,212.57,209.77,211.26,54737900,-1.1,-0.51799,211.49
AAPL,15-05-2025,210.95,212.96,209.54,211.45,45029500,0.5,0.23702,211.225
AAPL,14-05-2025,212.43,213.94,210.58,212.33,49325825,-0.1,-0.04707433,212.32
AAPL,13-05-2025,210.43,213.4,209,212.93,51909332,2.5,1.19,211.44
AAPL,12-05-2025,210.97,211.27,206.75,210.79,63775814,-0.18,-0.08532019,209.945
AAPL,09-05-2025,199,200.54,197.54,198.53,36453923,-0.47,-0.23618,198.9025
AAPL,08-05-2025,197.72,200.05,194.68,197.49,50478900,-0.23,-0.11633,197.485
AAPL,07-05-2025,199.17,199.44,193.25,196.25,68616943,-2.92,-1.47,197.0275
AAPL,06-05-2025,198.21,200.65,197.02,198.51,51216500,0.3,0.15135,198.5975
AAPL,05-05-2025,203.1,204.1,198.21,198.89,69018500,-4.21,-2.07,201.075
AAPL,02-05-2025,206.09,206.99,202.16,205.35,101010621,-0.74,-0.35907,205.1475
AAPL,01-05-2025,209.08,214.56,208.9,213.32,57365700,4.24,2.03,211.465
AAPL,30-04-2025,209.3,213.58,206.67,212.5,52286500,3.2,1.53,210.5125
AAPL,29-04-2025,208.69,212.24,208.37,211.21,36827633,2.52,1.21,210.1275
AAPL,28-04-2025,210,211.5,207.46,210.14,38743100,0.14,0.06666667,209.775
AAPL,25-04-2025,206.37,209.75,206.2,209.28,38222300,2.91,1.41,207.9
AAPL,24-04-2025,204.89,208.83,202.94,208.37,47311000,3.48,1.7,206.2575
AAPL,23-04-2025,206,208,202.8,204.6,52929200,-1.4,-0.67961,205.35
AAPL,22-04-2025,196.12,201.59,195.97,199.74,52976400,3.62,1.85,198.355
AAPL,21-04-2025,193.27,193.8,189.81,193.16,46742537,-0.105,-0.0569152,192.51
AAPL,17-04-2025,197.2,198.83,194.42,196.98,52164700,-0.22,-0.11156,196.8575
AAPL,16-04-2025,198.36,200.7,192.37,194.27,59732423,-4.09,-2.06,196.425
AAPL,15-04-2025,201.86,203.51,199.8,202.14,51343900,0.285,0.13871,201.8275
AAPL,14-04-2025,211.44,212.94,201.16,202.52,101352911,-8.92,-4.22,207.015
AAPL,11-04-2025,186.1,199.54,186.06,198.15,87435915,12.05,6.48,192.4625
AAPL,10-04-2025,189.07,194.78,183,190.42,121880000,1.35,0.71402,189.3175
AAPL,09-04-2025,171.95,200.61,171.89,198.85,184395900,26.9,15.64,185.825
AAPL,08-04-2025,186.7,190.34,169.21,172.42,120859500,-14.28,-7.65,179.6675
AAPL,07-04-2025,177.2,194.15,174.62,181.46,160466300,4.26,2.4,181.8575
AAPL,04-04-2025,193.89,199.88,187.34,188.38,125910913,-5.51,-2.84,192.3725
AAPL,03-04-2025,205.54,207.49,201.25,203.19,103419006,-2.35,-1.14,204.3675
AAPL,02-04-2025,221.32,225.19,221.02,223.89,35905904,2.57,1.16,222.855
AAPL,01-04-2025,219.81,223.68,218.9,223.19,36412740,3.38,1.54,221.395
AAPL,31-03-2025,217.01,225.62,216.23,222.13,65299321,5.13,2.36,220.2475
AAPL,28-03-2025,221.67,223.81,217.68,217.9,39818617,-3.77,-1.7,220.265
AAPL,27-03-2025,221.39,224.99,220.56,223.85,37094800,2.46,1.11,222.6975
